"","player_name","pos","fantasypros_id","sportradar_id","gsis_id"
"293","Jerricho Cotchery","WR","9298","dc2b3e27-0bc1-4ea7-b80e-f9ef81cab2c9","00-0022811"
"294","Jordan Norwood","WR","9744","fa83b20f-9528-43a0-ab8c-45072ad3942c","00-0026739"
"295","Joe Adams","WR","11201","30826b0b-4bed-4c4f-8009-2c7fda30a1dd","00-0029271"
"296","Stephen Williams","WR","9787","70ff9d3e-4339-46da-908f-4aed688f4a1f","00-0027349"
"297","David Gettis","WR","9795","d6681a94-c937-4e99-ae99-b24543587fa4","00-0027795"
"298","Dezmon Briscoe","WR","10979","f0fff5db-14db-45b8-8956-7f59b62c14b2","00-0027789"
"299","Josh Cribbs","WR","9324","cc275b47-1dfc-4125-80de-8781f773fe1c","00-0023176"
"300","Johnny Knox","WR","9315","7b920c85-c26b-4f09-a761-e23be10ec57e","00-0026913"
"301","Nick Toon","WR","11208","690e864b-2483-4cd0-b34b-f9f190d114a1","00-0029667"
"302","Ben Obomanu","WR","9037","d5b2ad50-53f7-4f89-b3b1-027c127b14a8","00-0024463"
"303","Anthony Armstrong","WR","9778","df9c5f83-4e34-473e-9c8f-846f0209cf8a","00-0026465"
"304","Riley Cooper","WR","9720","384dbb20-9765-4cfb-9384-8c062e14d47f","00-0027758"
"305","Roberto Wallace","WR","9820","a6fa33e3-09b1-4590-9b49-745ffbe69e51","00-0027358"
"306","Devin Aromashodu","WR","9190","12b6db1e-ab39-4237-8f04-10f19984431c","00-0024447"
"307","Brad Smith","WR","9053","39af9fa1-2ede-4596-90c4-7e1052300496","00-0024318"
"308","Tandon Doss","WR","9904","36e8d27f-0dae-42a9-9d57-f34fbd325a6f","00-0028061"
"309","Lavelle Hawkins","WR","9387","ce1ffa7a-d7f2-43b9-84b2-380d54c64fb9","00-0026266"
"310","Austin Pettis","WR","9905","b87b2286-c3e7-46f1-a3b6-abd89aced3c6","00-0028016"
"311","Kenbrell Thompkins","WR","11871","2b4e17f2-27b8-4c98-9b27-1d4c0d7949de","00-0030000"
"312","Aaron Dobson","WR","11624","ac673b16-3268-43df-a521-4dfd864698cc","00-0030540"
"313","Quinton Patton","WR","11620","33629816-c735-4a70-9e7c-eec8445eab7a","00-0030450"
"314","Ace Sanders","WR","11605","e506364d-fe69-48c7-8b84-a49603b0a7b6","00-0030550"
"315","Stedman Bailey","WR","11615","bdf9b438-3ec5-485b-ab9c-bbce34e5e306","00-0030532"
