"pos","rank","prob_gp"
"RB",34,0.77769383329225
"RB",35,0.776048215014018
"RB",36,0.774311964992261
"RB",37,0.772483526501564
"RB",38,0.770561342816508
"RB",39,0.768543857211677
"RB",40,0.766429512961654
"RB",41,0.764216753341022
"RB",42,0.761903025981455
"RB",43,0.759481795942994
"RB",44,0.756945532642769
"RB",45,0.754286705497913
"RB",46,0.751497783925557
"RB",47,0.748571237342832
"RB",48,0.74549953516687
"RB",49,0.742275146814802
"RB",50,0.738890541703761
"RB",51,0.735338189250877
"RB",52,0.731610558873281
"RB",53,0.727700119988107
"RB",54,0.723599342012484
"RB",55,0.719300694363545
"RB",56,0.71479664645842
"RB",57,0.710079667714243
"RB",58,0.705142227548143
"RB",59,0.699976795377252
"RB",60,0.694575840618703
"RB",61,0.688931832689626
"RB",62,0.68304081975933
"RB",63,0.676913165005828
"RB",64,0.67056281035931
"RB",65,0.664003697749965
"RB",66,0.657249769107984
"RB",67,0.650314966363556
"RB",68,0.643213231446872
"RB",69,0.635958506288121
"RB",70,0.628564732817493
"RB",71,0.621045852965179
"RB",72,0.613415808661367
"RB",73,0.605688541836248
"RB",74,0.597877994420012
"RB",75,0.589998108342848
"RB",76,0.582062825534947
"RB",77,0.574086087926499
"RB",78,0.566081837447693
"RB",79,0.558064016028719
"RB",80,0.550046565599767
"RB",81,0.542043428091027
"RB",82,0.534067876700482
"RB",83,0.52613050969729
"RB",84,0.5182412566184
"RB",85,0.510410047000763
"RB",86,0.502646810381329
"RB",87,0.494961476297048
"RB",88,0.487363974284872
"RB",89,0.479864233881749
"RB",90,0.472472184624631
"RB",91,0.465197756050468
"RB",92,0.45805087769621
"RB",93,0.451041479098807
"RB",94,0.44417948979521
"RB",95,0.437474839322369
"RB",96,0.430937457217234
"RB",97,0.424577273016756
"RB",98,0.418404216257885
"RB",99,0.412428216477572
"RB",100,0.406659203212766
"RB",101,0.401107106000418
"RB",102,0.395778305922623
"RB",103,0.390664990242053
"RB",104,0.385755797766525
"RB",105,0.381039367303855
"RB",106,0.376504337661861
"RB",107,0.37213934764836
"RB",108,0.367933036071168
"RB",109,0.363874041738102
"RB",110,0.359951003456979
"RB",111,0.356152560035615
"RB",112,0.352467350281828
"RB",113,0.348884013003435
"RB",114,0.345391187008251
"RB",115,0.341977511104095
"RB",116,0.338631624098782
"RB",117,0.33534216480013
"RB",118,0.332097772015955
"RB",119,0.328887084554075
"RB",120,0.325698741222306
"RB",121,0.322521380828464
"RB",122,0.319345701388961
"RB",123,0.316170637754577
"RB",124,0.312997183984689
"RB",125,0.309826334138671
"RB",126,0.306659082275899
"RB",127,0.303496422455749
"RB",128,0.300339348737595
"RB",129,0.297188855180812
"RB",130,0.294045935844777
"RB",131,0.290911584788864
"RB",132,0.287786796072449
"RB",133,0.284672563754907
"RB",134,0.281569881895613
"RB",135,0.278479744553942
"RB",136,0.27540314578927
"RB",137,0.272341079660972
"RB",138,0.269294540228424
"RB",139,0.266264521551
"RB",140,0.263252017688077
"RB",141,0.260258022699029
"RB",142,0.257283413727127
"RB",143,0.254328600251226
"RB",144,0.251393874834077
"RB",145,0.24847953003843
"RB",146,0.245585858427036
"RB",147,0.242713152562646
